| end of split   1 / 80 | epoch   1 | time: 346.06s | valid loss  2.22 | valid ppl     9.17 | learning rate 20.0000
| end of split   2 / 80 | epoch   1 | time: 352.54s | valid loss  1.63 | valid ppl     5.12 | learning rate 20.0000
| end of split   3 / 80 | epoch   1 | time: 354.13s | valid loss  1.59 | valid ppl     4.91 | learning rate 20.0000
| end of split   4 / 80 | epoch   1 | time: 352.66s | valid loss  1.33 | valid ppl     3.76 | learning rate 20.0000
| end of split   5 / 80 | epoch   1 | time: 354.37s | valid loss  1.22 | valid ppl     3.37 | learning rate 20.0000
| end of split   6 / 80 | epoch   1 | time: 353.51s | valid loss  1.22 | valid ppl     3.38 | learning rate 20.0000
| end of split   7 / 80 | epoch   1 | time: 373.16s | valid loss  1.19 | valid ppl     3.28 | learning rate 20.0000
| end of split   8 / 80 | epoch   1 | time: 515.01s | valid loss  1.12 | valid ppl     3.06 | learning rate 20.0000
| end of split   9 / 80 | epoch   1 | time: 517.00s | valid loss  1.10 | valid ppl     3.00 | learning rate 20.0000
| end of split  10 / 80 | epoch   1 | time: 516.44s | valid loss  1.08 | valid ppl     2.95 | learning rate 20.0000
| end of split  11 / 80 | epoch   1 | time: 403.08s | valid loss  1.13 | valid ppl     3.09 | learning rate 20.0000
| end of split  12 / 80 | epoch   1 | time: 353.16s | valid loss  1.07 | valid ppl     2.91 | learning rate 20.0000
| end of split  13 / 80 | epoch   1 | time: 353.44s | valid loss  1.05 | valid ppl     2.85 | learning rate 20.0000
| end of split  14 / 80 | epoch   1 | time: 353.04s | valid loss  1.12 | valid ppl     3.05 | learning rate 20.0000
| end of split  15 / 80 | epoch   1 | time: 352.53s | valid loss  1.01 | valid ppl     2.75 | learning rate 20.0000
| end of split  16 / 80 | epoch   1 | time: 354.22s | valid loss  1.00 | valid ppl     2.72 | learning rate 20.0000
| end of split  17 / 80 | epoch   1 | time: 354.11s | valid loss  0.99 | valid ppl     2.70 | learning rate 20.0000
| end of split  18 / 80 | epoch   1 | time: 353.86s | valid loss  0.98 | valid ppl     2.65 | learning rate 20.0000
| end of split  19 / 80 | epoch   1 | time: 354.84s | valid loss  0.97 | valid ppl     2.64 | learning rate 20.0000
| end of split  20 / 80 | epoch   1 | time: 354.47s | valid loss  0.97 | valid ppl     2.63 | learning rate 20.0000
| end of split  21 / 80 | epoch   1 | time: 354.98s | valid loss  0.96 | valid ppl     2.61 | learning rate 20.0000
| end of split  22 / 80 | epoch   1 | time: 353.22s | valid loss  0.96 | valid ppl     2.60 | learning rate 20.0000
| end of split  23 / 80 | epoch   1 | time: 354.15s | valid loss  0.95 | valid ppl     2.59 | learning rate 20.0000
| end of split  24 / 80 | epoch   1 | time: 353.19s | valid loss  0.97 | valid ppl     2.64 | learning rate 20.0000
